"list size"," steps taken"," cpu time"
1000000,40,0.000066000
1000000,40,0.000077000
1000000,40,0.000074000
1000000,40,0.000073000
1000000,40,0.000070000
200000,36,0.000069000
200000,36,0.000070000
200000,36,0.000080000
200000,36,0.000069000
200000,36,0.000089000
350000,38,0.000095000
350000,38,0.000073000
350000,38,0.000073000
350000,38,0.000076000
350000,38,0.000069000
500000,38,0.000069000
500000,38,0.000069000
500000,38,0.000071000
500000,38,0.000068000
500000,38,0.000079000
100000,34,0.000068000
100000,34,0.000066000
100000,34,0.000066000
100000,34,0.000063000
100000,34,0.000066000
10000,28,0.000040000
10000,28,0.000038000
10000,28,0.000045000
10000,28,0.000034000
10000,28,0.000038000
50000,32,0.000058000
50000,32,0.000105000
50000,32,0.000056000
50000,32,0.000073000
50000,32,0.000056000
5000,26,0.000032000
5000,26,0.000031000
5000,26,0.000033000
5000,26,0.000039000
5000,26,0.000036000
100,14,0.000022000
100,14,0.000022000
100,14,0.000022000
100,14,0.000022000
100,14,0.000021000
1000,20,0.000031000
1000,20,0.000024000
1000,20,0.000028000
1000,20,0.000028000
1000,20,0.000025000
2000,22,0.000043000
2000,22,0.000028000
2000,22,0.000029000
2000,22,0.000036000
2000,22,0.000028000
500,18,0.000030000
500,18,0.000024000
500,18,0.000025000
500,18,0.000026000
500,18,0.000024000
10,8,0.000018000
10,8,0.000017000
10,8,0.000018000
10,8,0.000019000
10,8,0.000018000
