"list size"," steps taken"," cpu time", "swaps"
100,654.0,0.000666000,420.0
100,656.0,0.000670950,433.0
1000,11056.0,0.009642050,6639.0
1000,10920.0,0.009314200,6654.0
2000,24541.0,0.020007950,14332.0
2000,24751.0,0.020245700,14245.0
500,4914.0,0.004239000,2980.0
500,4961.0,0.004254500,2996.0
5000,70824.0,0.055026150,38925.0
5000,71674.0,0.055024850,39642.0
10,24.0,0.000047100,21.0
10,24.0,0.000047750,23.0
100000,2214202.0,1.497094450,971636.0
100000,2221902.0,1.516002750,977078.0
10000,157475.0,0.118467600,85486.0
10000,156112.0,0.119467800,87422.0
50000,987478.0,0.698161800,474839.0
50000,970256.0,0.678208300,470112.0
