"list size"," steps taken"," cpu time","swaps"
100,2493.0,0.001634800,2593.0
100,2452.0,0.001598650,2552.0
1000,248641.0,0.159372000,249641.0
1000,252093.0,0.162263100,253093.0
2000,995754.0,0.645294700,997754.0
2000,999476.0,0.647324650,1001476.0
500,62698.0,0.040285250,63198.0
500,62607.0,0.040024500,63107.0
5000,6227793.0,4.034379400,6232793.0
5000,6242959.0,4.066435550,6247959.0
10,21.0,0.000026250,31.0
10,21.0,0.000023900,31.0
100,2423.0,0.001656100,2523.0
100,2506.0,0.001641400,2606.0
1000,249704.0,0.159636550,250704.0
1000,251061.0,0.160937650,252061.0
2000,1001854.0,0.645551450,1003854.0
2000,996116.0,0.646838950,998116.0
500,62083.0,0.040093100,62583.0
500,63283.0,0.040452300,63783.0
5000,6242655.0,4.001079150,6247655.0
5000,6239402.0,4.058098600,6244402.0
10,21.0,0.000024650,31.0
10,23.0,0.000026200,33.0
